Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
Ship It,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Less-dead,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Black Appetite. White Food.: Issues of Race, Voice, and Justice Within and Beyond the Classroom",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Sonny's House of Spies,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Sonny's House of Spies,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Going Down Home with Daddy,Banned Pending Investigation,"Minter, Daniel",,Florida,Duval County Public Schools,Jan-22,Administrator
"Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations",Banned Pending Investigation,"Mallett, Keith",,Florida,Duval County Public Schools,Jan-22,Administrator
"Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations",Banned in Classrooms,"Mallett, Keith",,Pennsylvania,Central York School District,Aug-21,Administrator
Heiress Apparently (Daughters of the Dynasty Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Libraries,,,Florida,St. Johns County School District,May-22,Formal Challenge
A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Classrooms,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries,,,Tennessee,Wilson County School District,May-22,Other
A Court of Mist and Fury (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,Texas,Katy Independent School District,Jan-22,Administrator
A ​Court of Silver Flames (A Court of Thorns and Roses Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
A ​Court of Silver Flames (A Court of Thorns and Roses Series),Banned in Libraries and Classrooms,,,Florida,Hernando School District,Nov-21,Administrator
A Court of Thorns and Roses (A Court of Thorns and Roses Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
A Court of Thorns and Roses (A Court of Thorns and Roses Series),Banned in Libraries,,,Texas,Katy Independent School District,Oct-21,Administrator
A Court of Wings and Ruin (A Court of Thorns and Roses Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
Empire of Storms (Throne of Glass Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
House of Earth and Blood (Crescent City Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
House of Sky and Breath (Crescent City Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
10 Things I Can See from Here,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
10 Things I Can See from Here,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Charmed,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Crush,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Way Back,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
And Still the Turtle Watched,Banned Pending Investigation,"Moser, Barry",,Florida,Duval County Public Schools,Jan-22,Administrator
In the Dream House,Banned in Classrooms,,,Texas,Leander Independent School District,Sep-21,Administrator
In the Dream House,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
It Began with a Page: How Gyo Fujikawa Drew the Way,Banned Pending Investigation,"Morstad, Julie",,Florida,Duval County Public Schools,Jan-22,Administrator
Our Skin: A First Conversation About Race,Banned in Libraries,"Roxas, Isabel",,New Jersey,Westfield Public Schools,Sep-21,Formal Challenge
Unravel Me (Shatter Me Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
When Angels Sing: The Story of Rock Legend Carlos Santana,Banned Pending Investigation,José Ramirez,,Florida,Duval County Public Schools,Jan-22,Administrator
Fry Bread: A Native American Family Story,Banned in Classrooms,"Martinez-Neal, Juana",,Pennsylvania,Central York School District,Aug-21,Administrator
Identity: A Story of Transitioning,Banned Pending Investigation,"Smith, Ahmara",,Texas,North East Independent School District,Dec-21,Administrator
Strange Fruit: Why Both Sides Are Wrong in the Race Debate,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Encyclopedia of Sex & Gender: 4 Volume Set,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
My Life as a Diamond,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Teens & Sex,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
The ABC's of LGBT+,Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
Losing the Girl: Book 1 (Life on Earth),Banned in Libraries and Classrooms,,,Texas,Katy Independent School District,Nov-21,Administrator
"Get Up, Stand Up",Banned in Classrooms,"Cabuay, John Jay",,Pennsylvania,Central York School District,Aug-21,Administrator
Blue Is the Warmest Color,Banned in Libraries and Classrooms,,"Hahnenberger, Ivanka",Texas,Frisco Independent School District,Apr-22,Administrator
"Squeak, Rumble, Whomp! Whomp! Whomp!: A Sonic Adventure",Banned in Classrooms,"Rogers, Paul",,Pennsylvania,Central York School District,Aug-21,Administrator
The Gold-Threaded Dress,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
The Girls Are Never Gone,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Knots on a Counting Rope,Banned Pending Investigation,"Rand, Ted",,Florida,Duval County Public Schools,Jan-22,Administrator
Boy-Crazy Stacey (The Baby-Sitters Club Series),Banned in Libraries,,,Missouri,Fox C-6 School District,May-22,Formal Challenge
The Rough-Face Girl,Banned Pending Investigation,"Shannon, David",,Florida,Duval County Public Schools,Jan-22,Administrator
Alma and How She Got Her Name,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Alma and How She Got Her Name,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Here the Whole Time,Banned Pending Investigation,,"Helena, Larissa",Tennessee,Collierville Schools,Feb-22,Administrator
Did I Mention I Need You? (DIMILY Series),Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
The Truth About Alice: A Novel,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
The Truth About Alice: A Novel,Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
The Truth About Alice: A Novel,Banned in Libraries and Classrooms,,,Florida,Lee County Schools,Mar-22,Administrator
The Truth About Alice: A Novel,Banned Pending Investigation,,,Florida,Santa Rosa County District Schools,Apr-22,Administrator
The Truth About Alice: A Novel,Banned in Libraries,,,Florida,St. Lucie Public Schools,Jan-22,Formal Challenge
The Truth About Alice: A Novel,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
How Beautiful We Were,Banned in Libraries and Classrooms,,,South Dakota,Rapid City Area Schools,Apr-22,Administrator
Blood Sport,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
"Tomorrow Will Be Different: Love, Loss, and the Fight for Trans Equality",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Sloppy Firsts (Jessica Darling Series),Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
Sloppy Firsts (Jessica Darling Series),Banned in Libraries,,,Florida,Lee County Schools,May-22,Administrator
Sloppy Firsts (Jessica Darling Series),Banned in Libraries and Classrooms,,,Florida,St. Lucie Public Schools,Jan-22,Formal Challenge
Sloppy Firsts (Jessica Darling Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Masked,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Masked,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Sold,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Sold,Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Sold,Banned in Libraries and Classrooms,,,Florida,Sarasota County School,May-22,Administrator
Sold,Banned in Libraries,,,Florida,St. Johns County School District,May-22,Formal Challenge
Sold,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Sold,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Sold,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
The Teenage Body Book,Banned in Libraries,,,Texas,Cypress-Fairbanks Independent School District,Jan-22,Administrator
The Teenage Body Book,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Indestructible Object,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Blood Water Paint,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Hands Up!,Banned in Classrooms,"Evans, Shane W.",,Pennsylvania,Central York School District,Aug-21,Administrator
What Was the Underground Railroad? (What was...? Series),Banned in Classrooms,"Mortimer, Lauren",,Pennsylvania,Central York School District,Aug-21,Administrator
Synchro Boy,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Come with Me,Banned in Classrooms,Pascal Lemaître,,Pennsylvania,Central York School District,Aug-21,Administrator
Heroine,Banned Pending Investigation,,,Missouri,Rockwood School District,Oct-21,Formal Challenge
Every Heart a Doorway (Seanan McGuire Series),Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
"Black Software: The Internet & Racial Justice, from the Afronet to Black Lives Matter",Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Gender Issues (Living with a Special Need),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Lulu and the Duck in the Park (Lulu Series),Banned in Classrooms,"Lamont, Priscilla",,Pennsylvania,Central York School District,Aug-21,Administrator
On the Other Side of Freedom: The Case for Hope,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Blanca & Roja,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Dark and Deepest Red,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
When the Moon Was Ours,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
When the Moon Was Ours,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Indian No More,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
Indian No More,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Fade (Wake Series),Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Fade (Wake Series),Banned in Libraries and Classrooms,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
"Nonbinary Gender Identities: History, Culture, Resources",Banned in Libraries and Classrooms,,,Tennessee,Collierville Schools,Feb-22,Administrator
#MurderTrending (MurderTrending Series),Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Lola at the Library (Lola Series),Banned in Classrooms,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola at the Library with Mommy (Lola Series),Banned in Classrooms,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Gets a Cat (Lola Series),Banned in Classrooms,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Goes to School (Lola Series),Banned in Classrooms,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Loves Stories (Lola Series),Banned in Classrooms,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Loves Stories with Daddy (Lola Series),Banned in Classrooms,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,Aug-21,Administrator
Lola Plants a Garden (Lola Series),Banned in Classrooms,"Beardshaw, Rosalind",,Pennsylvania,Central York School District,Aug-21,Administrator
